407  0 FBIS3-60342 0 28.800001 0 
408  0 LA122490-0038 0 1.0 0 
408  0 LA011990-0061 1 1.0 0 
408  0 LA092489-0195 2 1.0 0 
408  0 LA050690-0027 3 1.0 0 
408  0 LA050690-0121 4 1.0 0 
408  0 LA101990-0120 5 1.0 0 
408  0 LA022590-0213 6 1.0 0 
408  0 LA101490-0205 7 1.0 0 
408  0 LA022790-0116 8 1.0 0 
408  0 LA102090-0034 9 1.0 0 
408  0 LA053090-0148 10 1.0 0 
408  0 LA122190-0027 11 1.0 0 
408  0 LA052989-0022 12 1.0 0 
408  0 LA011890-0064 13 1.0 0 
408  0 LA102589-0058 14 1.0 0 
408  0 LA042789-0031 15 1.0 0 
408  0 LA060990-0004 16 1.0 0 
408  0 LA112989-0092 17 1.0 0 
408  0 LA022190-0020 18 1.0 0 
408  0 LA060290-0088 19 1.0 0 
408  0 LA070290-0019 20 1.0 0 
408  0 LA071789-0012 21 1.0 0 
408  0 LA040390-0158 22 1.0 0 
408  0 LA100190-0081 23 1.0 0 
408  0 LA042989-0112 24 1.0 0 
408  0 LA021789-0187 25 1.0 0 
408  0 LA010389-0038 26 1.0 0 
408  0 LA101989-0121 27 1.0 0 
408  0 LA102089-0116 28 1.0 0 
408  0 LA102089-0176 29 1.0 0 
408  0 LA030190-0120 30 1.0 0 
408  0 LA072090-0001 31 1.0 0 
408  0 LA072090-0163 32 1.0 0 
408  0 LA030390-0151 33 1.0 0 
408  0 LA012589-0099 34 1.0 0 
408  0 LA030789-0073 35 1.0 0 
408  0 LA022789-0079 36 1.0 0 
408  0 LA043090-0007 37 1.0 0 
408  0 LA110590-0118 38 1.0 0 
408  0 LA031690-0113 39 1.0 0 
408  0 LA100889-0164 40 1.0 0 
408  0 LA022289-0050 41 1.0 0 
408  0 LA102489-0155 42 1.0 0 
408  0 LA051290-0162 43 1.0 0 
408  0 LA121290-0141 44 1.0 0 
408  0 LA123190-0041 45 1.0 0 
408  0 LA122590-0003 46 1.0 0 
408  0 LA122590-0100 47 1.0 0 
408  0 LA041489-0157 48 1.0 0 
408  0 LA112490-0110 49 1.0 0 
408  0 LA101190-0220 50 1.0 0 
408  0 LA040689-0058 51 1.0 0 
408  0 LA051589-0083 52 1.0 0 
408  0 LA022290-0009 53 1.0 0 
408  0 LA090189-0084 54 1.0 0 
408  0 LA060390-0190 55 1.0 0 
408  0 FBIS4-21735 56 1.0 0 
408  0 FBIS3-42266 57 1.0 0 
408  0 FBIS4-45785 58 1.0 0 
408  0 FBIS4-45786 59 1.0 0 
408  0 FBIS4-32827 60 1.0 0 
408  0 FBIS3-21123 61 1.0 0 
408  0 FBIS3-9640 62 1.0 0 
408  0 FBIS3-12005 63 1.0 0 
408  0 FBIS3-22994 64 1.0 0 
408  0 FBIS3-35040 65 1.0 0 
408  0 FBIS4-67555 66 1.0 0 
408  0 FBIS3-13931 67 1.0 0 
408  0 FBIS4-55900 68 1.0 0 
408  0 FBIS4-38597 69 1.0 0 
408  0 FBIS4-38775 70 1.0 0 
408  0 FBIS4-22867 71 1.0 0 
408  0 FBIS3-41577 72 1.0 0 
408  0 FBIS4-26656 73 1.0 0 
408  0 FBIS4-55453 74 1.0 0 
408  0 FBIS4-29774 75 1.0 0 
